newest_id	lat_lng	typename	typename1	name	gps	pure_distance	cityname
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	诺德齿科	113.881695,22.582314	2.5009024960166304	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	牙科	113.906819,22.577829	2.505913917399724	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	子文齿科	113.902799,22.576709	2.5114045525131496	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	乐孚口腔(新安口腔门诊部)	113.905956,22.577063	2.5559900130374626	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;整形美容	深圳春天医院整形美容咨询	113.880896,22.582252	2.562070022834722	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;眼科医院	青少年视力低下防控中心建安中心	113.891994,22.576483	2.568451253379242	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	深圳月芽口腔诊所	113.885665,22.578531	2.6005276442990493	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;眼科医院	深圳睛视力眼科诊所(建安店)	113.891954,22.576102	2.61037009277071	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	惠泽康悦·齿科	113.880592,22.581768	2.622448492152438	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	科易白数字化口腔美学修复中心	113.904781,22.576105	2.6227747138738446	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	深圳鹏鑫口腔诊所	113.907924,22.577079	2.625166367311461	深圳市
