楼盘名	楼盘地址	楼盘经纬度	配套类型	配套标签	配套名称	配套经纬度	省名称	城市名称	区县名称	配套地址
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;小学	瑞安经济开发区实验学校	120.642618,27.755832	浙江省	温州市	瑞安市	毓蒙路1369号
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;幼儿园	瑞安市江南安博幼儿园	120.629177,27.740412	浙江省	温州市	瑞安市	飞云街道盛达路387号
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;中学	瑞安市外国语学校	120.642973,27.756182	浙江省	温州市	瑞安市	东山街道毓蒙路1369号
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;高等院校	温州职业技术学院	120.608561,27.742291	浙江省	温州市	瑞安市	孙桥村次纬支路温州职业技术学院
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;幼儿园	英吉姆幼儿园	120.631618,27.775870	浙江省	温州市	瑞安市	虹桥路南堤街三百巷5号
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;小学	瑞安市虹桥路小学(会文里校区)	120.631133,27.777170	浙江省	温州市	瑞安市	会文里67
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;幼儿园	瑞安市玉海中心幼儿园(罗阳学前教育集团总园）	120.633621,27.775999	浙江省	温州市	瑞安市	虹桥南路15幢后
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;幼儿园	瑞安市中心幼儿园	120.630501,27.77811	浙江省	温州市	瑞安市	范大桥街15号
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;幼儿园	玉海长虹幼儿园	120.630921,27.778079	浙江省	温州市	瑞安市	玉海范大桥街5号
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;幼儿园	瑞安市行知实验幼儿园	120.645405,27.759219	浙江省	温州市	瑞安市	瑞光大道590号(原开发区幼儿园)
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;小学	玉海中心小学(新校区)	120.629326,27.778839	浙江省	温州市	瑞安市	范大桥街24-1号附近
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;幼儿园	玉海满天星幼儿园	120.635404,27.776238	浙江省	温州市	瑞安市	泥城街与柏屏街交叉路口南侧(天成小区-)
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;幼儿园	台湾颢学安亲托管学堂	120.631125,27.778417	浙江省	温州市	瑞安市	虹桥南路会文里67号
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;小学	虹桥路小学	120.631925,27.778088	浙江省	温州市	瑞安市	屏星街16号
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;幼儿园	母子乐幼儿园	120.645564,27.761327	浙江省	温州市	瑞安市	上埠门前路27号
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;幼儿园	创意幼童园	120.632125,27.778114	浙江省	温州市	瑞安市	虹桥南路屏星街棉织西C幢(虹桥路小学东侧)
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;幼儿园	宝贝乐学幼儿园	120.643535,27.767939	浙江省	温州市	瑞安市	兴隆南路元隆山庄1幢1单元
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;幼儿园	瑞安市机关幼儿园(装修中)	120.628452,27.779583	浙江省	温州市	瑞安市	邮电南路40-1
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;幼儿园	ok创意幼儿园	120.632209,27.778342	浙江省	温州市	瑞安市	玉海街道屏星街棉织西c幢101号
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;中学	瑞安市安阳三中	120.624495,27.780822	浙江省	温州市	瑞安市	飞云西路118号
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;幼儿园	飞云爱乐幼幼儿园	120.634760,27.738942	浙江省	温州市	瑞安市	飞云街道宋家埭村孙鳌路35号
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;中学	瑞安市东山中学	120.647044,27.758861	浙江省	温州市	瑞安市	瑞光大道601号
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;小学	瑞安市江南实验学校	120.633666,27.738269	浙江省	温州市	瑞安市	飞云街道飞林路666号欣炜机械宋家埭
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;幼儿园	小明星幼儿园	120.647243,27.760144	浙江省	温州市	瑞安市	门前路78-79号附近
