address,building_code,city_name,developers_name,issue_code,issue_date,newest_name,open_date,property_type,rooms_url,sale_address
杭州市临安区锦北街道临水路与双林街交汇处,9,杭州市,杭州众汇置业有限公司,临售许字（2018）第00513号,2018-07-19,星雨华府,2018-07-19,住宅,http://www.tmsf.com/newhouse/presell_330191_63253020_5522174.htm,杭州市临安区锦北街道临水路与双林街交汇处
杭州市临安区锦北街道临水路与双林街交汇处,2,杭州市,杭州众汇置业有限公司,临售许字（2018）第00512号,2018-07-19,星雨华府,2018-07-19,住宅,http://www.tmsf.com/newhouse/presell_330191_63253020_5522116.htm,杭州市临安区锦北街道临水路与双林街交汇处
杭州市临安区锦北街道临水路与双林街交汇处,1,杭州市,杭州众汇置业有限公司,临售许字（2018）第00511号,2018-07-19,星雨华府,2018-07-19,住宅,http://www.tmsf.com/newhouse/presell_330191_63253020_5522051.htm,杭州市临安区锦北街道临水路与双林街交汇处
杭州市临安区锦北街道临水路与双林街交汇处,10,杭州市,杭州众汇置业有限公司,临售许字（2018）第00510号,2018-07-19,星雨华府,2018-07-19,住宅,http://www.tmsf.com/newhouse/presell_330191_63253020_5522012.htm,杭州市临安区锦北街道临水路与双林街交汇处
杭州市临安区锦北街道临水路与双林街交汇处,18,杭州市,杭州众汇置业有限公司,临售许字（2018）第00509号,2018-07-19,星雨华府,2018-07-19,住宅,http://www.tmsf.com/newhouse/presell_330191_63253020_5522005.htm,杭州市临安区锦北街道临水路与双林街交汇处
杭州市临安区锦北街道临水路与双林街交汇处,20,杭州市,杭州众汇置业有限公司,临售许字（2018）第00508号,2018-07-19,星雨华府,2018-07-19,住宅,http://www.tmsf.com/newhouse/presell_330191_63253020_5521998.htm,杭州市临安区锦北街道临水路与双林街交汇处
杭州市临安区锦北街道临水路与双林街交汇处,21,杭州市,杭州众汇置业有限公司,临售许字（2018）第00507号,2018-07-19,星雨华府,2018-07-19,住宅,http://www.tmsf.com/newhouse/presell_330191_63253020_5521993.htm,杭州市临安区锦北街道临水路与双林街交汇处
萧山临浦镇东藩路与临北路交叉口,"27,26",杭州市,杭州碧泰置业有限公司,萧售许字（2018）第00505号,2020-08-13,越溪府,2018-07-19,住宅 商业,http://www.tmsf.com/newhouse/presell_330181_473034210_25262811.htm,萧山临浦镇东藩路与临北路交叉口
桐庐县梅林路与云栖路交叉口,9,杭州市,杭州天林置业有限公司,桐售许字（2018）第00504号,2018-07-23,云栖梅林苑,2018-07-19,住宅,http://www.tmsf.com/newhouse/presell_330188_1164630083_4615145.htm,桐庐县春江路8号
杭州市萍水街与莫干山路交汇处西南侧200米,2幢,杭州市,中交（杭州）投资有限公司,杭售许字(2018)第000058号,2020-01-09,中交财富大厦,2018-07-19,商业、写字楼,http://www.tmsf.com/newhouse/presell_33_512245233_1164442278.htm,杭州市拱墅区丰潭路508号海蓝天行国际4#105，中交财富中心售楼部
上城区秋涛路与近江路交叉口,翡翠海岸公寓7幢,杭州市,杭州滨保房地产开发有限公司,杭售许字(2018)第000057号,2019-07-05,翡翠海岸公寓,2018-07-19,住宅,http://www.tmsf.com/newhouse/presell_33_409192999_1164441728.htm,上城区秋涛路与近江路交叉口
延安路353号,"2,5,3,1",杭州市,嘉里置业（杭州）有限公司,杭售许字(2018)第000056号,2018-08-08,杭州嘉里中心,2018-07-19,写字楼 商铺,http://www.tmsf.com/newhouse/presell_33_330921800_1164441581.htm,
